timestamp,tracker_pos_x,tracker_pos_y,tracker_pos_z,tracker_rot_roll,tracker_rot_pitch,tracker_rot_yaw,tracker_rot_quat_x,tracker_rot_quat_y,tracker_rot_quat_z,tracker_rot_quat_w,sensor_x,sensor_y,sensor_z
1754658735.661356,0.028249740600585938,1.0019290447235107,0.02512754499912262,87.13771204186357,-77.67732038105069,3.109816495257441,0.5489803045851633,-0.4396498559379116,0.4473885128649621,0.5524237505199743,-151.0,-134.4,16.8
1754658735.8662202,0.04099327325820923,1.0016624927520752,0.026555970311164856,87.5035011250472,-78.05344088854591,2.595373920919069,0.5473838211878704,-0.44256369475945456,0.4480444830738975,0.5511482311108215,-164.2,-178.2,73.32
1754658736.0877755,0.05280888080596924,1.0015361309051514,0.0262935608625412,87.60299339112122,-77.94745708166855,2.4939901177148687,0.5478622029800406,-0.4421316213176984,0.4474529050108791,0.551500118208545,-188.6,-221.2,151.49
1754658736.2773418,0.0593414306640625,1.0007076263427734,0.026529774069786072,86.93252522801066,-78.41992352735309,3.3567811389609767,0.5462394548304539,-0.4430027801708561,0.45116738482517543,0.5493804241599965,-221.2,-245.6,220.29
1754658736.500683,0.06021088361740112,1.0021511316299438,0.02425338327884674,83.82261683927449,-79.9372374849117,7.3564364337382875,0.5415499706033401,-0.4442101463487237,0.464793446337902,0.5416344832620024,-241.8,-255.4,256.14
1754658736.722331,0.05996054410934448,1.001774549484253,0.014142736792564392,83.53934507678589,-80.6985324636025,7.521026123995602,0.5382489573571672,-0.44854725208358703,0.46763871019808523,0.538894527377069,-256.0,-231.4,205.11
1754658736.929401,0.05735248327255249,1.0020201206207275,0.0043741315603256226,83.03247202554283,-81.78365477880857,7.946631517520907,0.5338262805067356,-0.454270181788235,0.4720900962700738,0.5346016616291324,-279.8,-191.2,146.97
1754658737.1185007,0.05672621726989746,1.0017062425613403,-0.005299732089042664,80.99031077812971,-82.81939541662557,9.838300322554936,0.5283754405725014,-0.45938212267013395,0.4768525814486777,0.5314122197331963,-286.0,-147.6,91.41
1754658737.355983,0.056551337242126465,1.0013929605484009,-0.017370715737342834,80.80528107675063,-83.18888372211507,9.540386987702872,0.5250914606926544,-0.46346908220791294,0.476149293970392,0.5317490787215512,-278.6,-106.0,44.9
1754658737.5634282,0.05640280246734619,1.0018824338912964,-0.023705407977104187,78.40917878786826,-83.92112715323343,12.058059014652473,0.5218448477599977,-0.4658748755938406,0.48081186383460284,0.528638254105543,-265.2,-75.4,18.73
1754658737.7680118,0.05776655673980713,1.0016652345657349,-0.030596241354942322,80.23016542646391,-83.8694200113869,9.572290085341297,0.5202885882122825,-0.46929595973554494,0.4765578052509318,0.5309930887550133,-252.6,-56.4,0.65
1754658737.9904094,0.06029462814331055,1.0011334419250488,-0.04007963836193085,75.90724362468279,-83.96063068794214,14.17820978981026,0.5187874431536821,-0.4669586499115101,0.48056846140539755,0.5309077185991259,-243.2,-38.0,-10.98
1754658738.1957622,0.06125223636627197,1.0009491443634033,-0.04718266427516937,73.53515091407353,-84.34893918628445,16.497992414094853,0.516178734557036,-0.46862025000758667,0.48289442852639775,0.5298748619409028,-231.6,-19.8,-23.9
1754658738.4033828,0.06311267614364624,1.0005521774291992,-0.05615915358066559,73.06644141076647,-84.27507746421573,16.697402768676803,0.5150242508383014,-0.46927907630259214,0.4816676625610592,0.531529178458895,-219.2,-7.4,-34.88
1754658738.6247976,0.06590580940246582,1.0016324520111084,-0.06602005660533905,73.03072828123301,-84.40348825422056,16.678511462454765,0.5144350758836457,-0.4702394177634802,0.4818350370485941,0.5310991354387575,-202.8,6.2,-44.25
1754658738.8308578,0.07108443975448608,1.0016136169433594,-0.0768156498670578,73.08122724752528,-83.56750901612828,16.73341588025508,0.5171354082615363,-0.46504758027816356,0.4796732235363568,0.5349907696437872,-187.6,17.4,-50.39
1754658739.0385065,0.07935917377471924,1.0014803409576416,-0.08323340117931366,68.07173621523224,-83.30829986728492,21.679911448570085,0.5143196242418948,-0.4622954017819549,0.481809966660446,0.5381610360589675,-174.6,27.4,-53.94
